OrderID,CustomerID_x,Status,FullName,Phone,Address,OrderDetailID,MenuItemID,Quantity,Price_x,Driver_name,Amount,PaymentMethod,Name,Description,Price_y,CuisineType,Revenue,OrderIDNew
1,1,Pending,Aya Mahrous,1164311241,"Dokki, Giza",1,79,3,199.41,Aya Ali,0,Not Paid,nachos,Delicious Tamales - classic Mexican taste.,68.72,Mexican,598.23,1
2,2,Pending,Aya Mostafa,1590933812,"Stanley, Alexandria",2,31,3,108.37,Maha Saleh,0,Not Paid,Butter Chicken,Delicious Butter Chicken - classic Indian taste.,158.8,Indian,325.11,2
3,3,Pending,Ahmed Tawfik,1597910285,"Sidi Gaber, Alexandria",3,60,2,57.09,Mostafa Tawfik,0,Not Paid,Spanakopita,Delicious Spanakopita - classic Mediterranean taste.,38.32,Mediterranean,114.18,3
4,4,Pending,Heba Hassan,1211301313,"Smouha, Alexandria",4,49,2,158.12,Rita Soliman,283.82,Credit Card,Batata Harra,Delicious Batata Harra - classic Lebanese taste.,141.91,Lebanese,316.24,4
5,5,Shipped,Omar Ali,1146443923,"Stanley, Alexandria",5,33,3,137.52,Rita Zaki,240.99,Cash,Biryani,Delicious Biryani - classic Indian taste.,80.33,Indian,412.56,5
6,6,Cancelled,Khaled Hassan,1598497386,"Nasr City, Cairo",6,48,1,94.58,Ruba Sultan,40.28,Vodafone Cash,Manakish,Delicious Manakish - classic Lebanese taste.,40.28,Lebanese,94.58,6
7,7,Shipped,Ahmed Mostafa,1165928205,"Dokki, Giza",7,100,4,158.75,Yousra Younes,452.76,Credit Card,Mango Sticky Rice,Delicious Mango Sticky Rice - classic Thai taste.,113.19,Thai,635,7
8,8,Pending,Aya Ibrahim,1291847851,"Mohandessin, Giza",8,11,4,84.01,Nasser Mostafa,0,Not Paid,Margherita Pizza,Delicious Margherita Pizza - classic Italian taste.,225,Italian,336.04,8
9,9,Cancelled,Yasmin Tawfik,1275367337,"Faisal, Giza",9,37,2,155.5,Rowan Ali,0,Not Paid,Rogan Josh,Delicious Rogan Josh - classic Indian taste.,196.12,Indian,311,9
10,10,Cancelled,Yasmin Mostafa,1587894300,"Sidi Gaber, Alexandria",10,4,4,144.63,Mariam Mostafa,0,Not Paid,Ful Medames,Delicious Ful Medames - classic Egyptian taste.,133.05,Egyptian,578.52,10
11,11,Pending,Aya Kamal,1139922505,"Stanley, Alexandria",11,89,1,166.69,Gihan Hamed,0,Not Paid,Tzatziki,Delicious Tzatziki - classic Greek taste.,116.07,Greek,166.69,11
12,12,Shipped,Sara Gamal,1133792974,"Imbaba, Giza",12,31,3,231.45,Huda Younes,0,Not Paid,Butter Chicken,Delicious Butter Chicken - classic Indian taste.,158.8,Indian,694.35,12
13,13,Delivered,Omar Fathy,1170146311,"Faisal, Giza",13,73,3,243.32,Youssef Soliman,350.52,Cash,Enchiladas,Delicious Enchiladas - classic Mexican taste.,116.84,Mexican,729.96,13
14,14,Shipped,Sara Kamal,1052710863,"Smouha, Alexandria",14,24,3,132.08,Hany Shalaby,0,Not Paid,Spring Rolls,Delicious Spring Rolls - classic Chinese taste.,143.8,Chinese,396.24,14
15,15,Cancelled,Mohamed Gamal,1560332117,"Imbaba, Giza",15,84,4,192.04,Aya Mahrous,0,Not Paid,Dolmades,Delicious Dolmades - classic Greek taste.,83.97,Greek,768.16,15
16,16,Cancelled,Ahmed Farouk,1127526840,"Heliopolis, Cairo",16,2,4,148.16,Rana Gamal,0,Not Paid,Molokhia,Delicious Molokhia - classic Egyptian taste.,78.47,Egyptian,592.64,16
17,17,Pending,Heba Ibrahim,1516346671,"Nasr City, Cairo",17,8,2,73.06,Walid Shahin,0,Not Paid,Sayadiya,Delicious Sayadiya - classic Egyptian taste.,142.93,Egyptian,146.12,17
18,18,Delivered,Heba Tawfik,1244762508,"Nasr City, Cairo",18,62,1,117.62,Gihan Sultan,0,Not Paid,Fried Chicken,Delicious Fried Chicken - classic American taste.,131.62,American,117.62,18
19,19,Cancelled,Omar Farouk,1225504287,"Dokki, Giza",19,62,1,233.77,Ali Taha,0,Not Paid,Fried Chicken,Delicious Fried Chicken - classic American taste.,131.62,American,233.77,19
20,20,Pending,Yasmin Mostafa,1133480734,"Maadi, Cairo",20,99,2,54.82,Walid Gaber,0,Not Paid,Coconut Soup,Delicious Coconut Soup - classic Thai taste.,135.28,Thai,109.64,20
21,21,Pending,Khaled Kamal,1575115483,"Heliopolis, Cairo",21,98,3,52.52,Khaled Gaber,393.39,Fawry,Thai Basil Chicken,Delicious Thai Basil Chicken - classic Thai taste.,131.13,Thai,157.56,21
22,22,Shipped,Khaled Tawfik,1258527959,"Nasr City, Cairo",22,84,2,94.46,Aya Gaber,167.94,Fawry,Dolmades,Delicious Dolmades - classic Greek taste.,83.97,Greek,188.92,22
23,23,Delivered,Mostafa Farouk,1064499860,"Stanley, Alexandria",23,53,1,208.26,Walid Sabry,0,Not Paid,Falafel Plate,Delicious Falafel Plate - classic Mediterranean taste.,121.35,Mediterranean,208.26,23
24,24,Delivered,Ahmed Tawfik,1293992786,"Heliopolis, Cairo",24,90,5,167.98,Omar Salem,0,Not Paid,Greek Lemon Potatoes,Delicious Greek Lemon Potatoes - classic Greek taste.,51.29,Greek,839.9,24
25,25,Shipped,Ahmed Ibrahim,1271645075,"Smouha, Alexandria",25,19,1,26.79,Heba Shalaby,0,Not Paid,Gnocchi,Delicious Gnocchi - classic Italian taste.,52.08,Italian,26.79,25
26,26,Shipped,Khaled Mostafa,1294579129,"Stanley, Alexandria",26,18,5,123.44,Tarek Sultan,606.35,Cash,Carbonara,Delicious Carbonara - classic Italian taste.,121.27,Italian,617.2,26
27,27,Shipped,Mohamed Fathy,1157034379,"Maadi, Cairo",27,54,5,35.61,Tarek Gaber,153.9,Cash,Seafood Platter,Delicious Seafood Platter - classic Mediterranean taste.,30.78,Mediterranean,178.05,27
28,28,Shipped,Omar Mahrous,1560163617,"Imbaba, Giza",28,19,5,249.24,Samir Abdelrahman,0,Not Paid,Gnocchi,Delicious Gnocchi - classic Italian taste.,52.08,Italian,1246.2,28
29,29,Delivered,Heba Tawfik,1135901891,"Stanley, Alexandria",29,12,4,172.21,Laila Tawfik,471.92,Fawry,Spaghetti Bolognese,Delicious Spaghetti Bolognese - classic Italian taste.,117.98,Italian,688.84,29
30,30,Pending,Omar Mahrous,1046159019,"Faisal, Giza",30,27,5,143.06,Mahmoud Hassan,0,Not Paid,Mapo Tofu,Delicious Mapo Tofu - classic Chinese taste.,53.67,Chinese,715.3,30
31,31,Pending,Sara Kamal,1530937457,"Imbaba, Giza",31,75,4,131.75,Omar Mahmoud,811.36,Fawry,Guacamole,Delicious Guacamole - classic Mexican taste.,202.84,Mexican,527,31
32,32,Delivered,Mona Tawfik,1095834776,"Nasr City, Cairo",32,52,2,158.52,Nadine Mansour,91.28,Cash,Grilled Vegetables,Delicious Grilled Vegetables - classic Mediterranean taste.,45.64,Mediterranean,317.04,32
33,33,Shipped,Mostafa Hassan,1094363643,"Heliopolis, Cairo",33,44,4,61.22,Sherif Sabry,0,Not Paid,Shawarma,Delicious Shawarma - classic Lebanese taste.,101.14,Lebanese,244.88,33
34,34,Pending,Yasmin Kamal,1298479360,"Stanley, Alexandria",34,64,4,212.49,Tarek Gaber,0,Not Paid,Caesar Salad,Delicious Caesar Salad - classic American taste.,110.22,American,849.96,34
35,35,Pending,Khaled Ali,1551009079,"Mohandessin, Giza",35,88,2,110,Mohamed Ragab,154.3,Credit Card,Keftedes,Delicious Keftedes - classic Greek taste.,77.15,Greek,220,35
36,36,Pending,Yasmin Kamal,1155747478,"Faisal, Giza",36,10,2,117.6,Mahmoud Mahmoud,0,Not Paid,Hamam Mahshi,Delicious Hamam Mahshi - classic Egyptian taste.,119.67,Egyptian,235.2,36
37,37,Pending,Omar Ali,1250652608,"Dokki, Giza",37,31,2,60.23,Sherif Hassan,317.6,Fawry,Butter Chicken,Delicious Butter Chicken - classic Indian taste.,158.8,Indian,120.46,37
38,38,Cancelled,Mona Hassan,1078582594,"Nasr City, Cairo",38,97,1,210.19,Ahmed Khalifa,246.61,Credit Card,Panang Curry,Delicious Panang Curry - classic Thai taste.,246.61,Thai,210.19,38
39,39,Pending,Ahmed Kamal,1246569051,"Nasr City, Cairo",39,39,1,31.11,Ibrahim Gaber,0,Not Paid,Chole Bhature,Delicious Chole Bhature - classic Indian taste.,108.91,Indian,31.11,39
40,40,Pending,Omar Gamal,1076015937,"Mohandessin, Giza",40,15,3,124.88,Fatma Gaber,156.15,Vodafone Cash,Penne Arrabbiata,Delicious Penne Arrabbiata - classic Italian taste.,52.05,Italian,374.64,40
41,41,Pending,Heba Hassan,1584564910,"Maadi, Cairo",41,14,4,174.69,Zeinab Yassin,0,Not Paid,Fettuccine Alfredo,Delicious Fettuccine Alfredo - classic Italian taste.,204.12,Italian,698.76,41
42,42,Cancelled,Sara Ibrahim,1211133188,"Sidi Gaber, Alexandria",42,11,2,71.25,Lobna Said,450,Fawry,Margherita Pizza,Delicious Margherita Pizza - classic Italian taste.,225,Italian,142.5,42
43,43,Cancelled,Ahmed Mahrous,1065373888,"Maadi, Cairo",43,34,3,54.16,Omar Hassan,0,Not Paid,Palak Paneer,Delicious Palak Paneer - classic Indian taste.,193.16,Indian,162.48,43
44,44,Pending,Aya Tawfik,1530253404,"Maadi, Cairo",44,83,1,112.08,Aya Salem,213.94,Fawry,Lamb Kebab,Delicious Lamb Kebab - classic Greek taste.,213.94,Greek,112.08,44
45,45,Pending,Aya Hassan,1520096725,"Stanley, Alexandria",45,54,2,87.48,Rowan Mahrous,61.56,Fawry,Seafood Platter,Delicious Seafood Platter - classic Mediterranean taste.,30.78,Mediterranean,174.96,45
46,46,Pending,Sara Mahrous,1141127342,"Nasr City, Cairo",46,85,5,147.15,Gihan Mansour,583.6,Vodafone Cash,Avgolemono Soup,Delicious Avgolemono Soup - classic Greek taste.,116.72,Greek,735.75,46
47,47,Pending,Aya Gamal,1168800440,"Maadi, Cairo",47,53,2,60.91,Hany Ali,0,Not Paid,Falafel Plate,Delicious Falafel Plate - classic Mediterranean taste.,121.35,Mediterranean,121.82,47
48,48,Delivered,Ahmed Ibrahim,1124982325,"Stanley, Alexandria",48,70,1,118.67,Hany Yassin,85.19,Fawry,Cobb Salad,Delicious Cobb Salad - classic American taste.,85.19,American,118.67,48
49,49,Shipped,Ahmed Gamal,1575279281,"Mohandessin, Giza",49,46,2,184.6,Samir Ibrahim,87.38,Fawry,Mujadara,Delicious Mujadara - classic Lebanese taste.,43.69,Lebanese,369.2,49
50,50,Cancelled,Mostafa Mahrous,1144237353,"Maadi, Cairo",50,99,2,86.42,Rita Hamed,270.56,Vodafone Cash,Coconut Soup,Delicious Coconut Soup - classic Thai taste.,135.28,Thai,172.84,50
51,51,Pending,Omar Kamal,1543823306,"Smouha, Alexandria",51,6,4,200.81,Kareem Kamel,0,Not Paid,Kofta,Delicious Kofta - classic Egyptian taste.,45.58,Egyptian,803.24,51
52,52,Pending,Ahmed Kamal,1129494631,"Imbaba, Giza",52,60,2,67.87,Ali Saleh,0,Not Paid,Spanakopita,Delicious Spanakopita - classic Mediterranean taste.,38.32,Mediterranean,135.74,52
53,53,Pending,Omar Fathy,1060849909,"Dokki, Giza",53,76,3,113.87,Maha Saleh,155.16,Fawry,Chili Con Carne,Delicious Chili Con Carne - classic Mexican taste.,51.72,Mexican,341.61,53
54,54,Delivered,Mona Gamal,1196913844,"Stanley, Alexandria",54,71,1,52.87,Nermine Hamed,119.04,Fawry,Tacos,Delicious Tacos - classic Mexican taste.,119.04,Mexican,52.87,54
55,55,Cancelled,Aya Ali,1229396016,"Faisal, Giza",55,40,1,23.84,Nadine Kamel,0,Not Paid,Masala Dosa,Delicious Masala Dosa - classic Indian taste.,77.8,Indian,23.84,55
56,56,Pending,Omar Mahrous,1165371111,"Stanley, Alexandria",56,25,4,25.62,Ahmed Nasr,0,Not Paid,Chow Mein,Delicious Chow Mein - classic Chinese taste.,86.93,Chinese,102.48,56
57,57,Pending,Aya Mahrous,1015564869,"Nasr City, Cairo",57,43,5,58.56,Sherif Soliman,0,Not Paid,Fattoush,Delicious Fattoush - classic Lebanese taste.,72.76,Lebanese,292.8,57
58,58,Pending,Mostafa Ali,1528960753,"Faisal, Giza",58,81,5,211.49,Yasmin Ali,0,Not Paid,Gyro,Delicious Gyro - classic Greek taste.,183.23,Greek,1057.45,58
59,59,Cancelled,Mostafa Ali,1232580020,"Heliopolis, Cairo",59,29,2,100.71,Hany Nasr,181.56,Fawry,Hot and Sour Soup,Delicious Hot and Sour Soup - classic Chinese taste.,90.78,Chinese,201.42,59
60,60,Shipped,Khaled Gamal,1029379067,"Nasr City, Cairo",60,46,5,65.24,Rana Salem,0,Not Paid,Mujadara,Delicious Mujadara - classic Lebanese taste.,43.69,Lebanese,326.2,60
61,61,Shipped,Mona Hassan,1296940157,"Mohandessin, Giza",61,60,2,103.37,Samir Farouk,76.64,Fawry,Spanakopita,Delicious Spanakopita - classic Mediterranean taste.,38.32,Mediterranean,206.74,61
62,62,Delivered,Ahmed Hassan,1229443937,"Smouha, Alexandria",62,65,2,137.38,Hassan Mahmoud,266.68,Fawry,Club Sandwich,Delicious Club Sandwich - classic American taste.,133.34,American,274.76,62
63,63,Cancelled,Aya Tawfik,1030159843,"Stanley, Alexandria",63,31,3,74.48,Mohamed Said,0,Not Paid,Butter Chicken,Delicious Butter Chicken - classic Indian taste.,158.8,Indian,223.44,63
64,64,Shipped,Mostafa Fathy,1060517439,"Faisal, Giza",64,75,5,133.83,Salma Hassan,0,Not Paid,Guacamole,Delicious Guacamole - classic Mexican taste.,202.84,Mexican,669.15,64
65,65,Cancelled,Khaled Ali,1242297895,"Sidi Gaber, Alexandria",65,11,1,67.8,Sherif Sabry,225,Fawry,Margherita Pizza,Delicious Margherita Pizza - classic Italian taste.,225,Italian,67.8,65
66,66,Pending,Mostafa Farouk,1233649573,"Imbaba, Giza",66,20,3,194.17,Fatma Saleh,0,Not Paid,Calzone,Delicious Calzone - classic Italian taste.,133.09,Italian,582.51,66
67,67,Delivered,Khaled Hassan,1099866784,"Maadi, Cairo",67,58,5,107.62,Nadine Hassan,395.55,Cash,Octopus Salad,Delicious Octopus Salad - classic Mediterranean taste.,79.11,Mediterranean,538.1,67
68,68,Shipped,Heba Mahrous,1522301888,"Imbaba, Giza",68,43,5,21.49,Nadia Zaki,363.8,Fawry,Fattoush,Delicious Fattoush - classic Lebanese taste.,72.76,Lebanese,107.45,68
69,69,Cancelled,Mostafa Fathy,1528846190,"Heliopolis, Cairo",69,37,3,51.75,Ali Tawfik,0,Not Paid,Rogan Josh,Delicious Rogan Josh - classic Indian taste.,196.12,Indian,155.25,69
70,70,Cancelled,Mohamed Mahrous,1284335980,"Faisal, Giza",70,24,5,131.76,Ali Ragab,0,Not Paid,Spring Rolls,Delicious Spring Rolls - classic Chinese taste.,143.8,Chinese,658.8,70
71,71,Pending,Sara Gamal,1029719159,"Stanley, Alexandria",71,67,1,62.3,Amr Soliman,165.33,Fawry,Philly Cheesesteak,Delicious Philly Cheesesteak - classic American taste.,165.33,American,62.3,71
72,72,Pending,Omar Mahrous,1264119879,"Smouha, Alexandria",72,74,4,168.29,Dina Gaber,410.68,Fawry,Quesadilla,Delicious Quesadilla - classic Mexican taste.,102.67,Mexican,673.16,72
73,73,Delivered,Mostafa Ali,1038904185,"Stanley, Alexandria",73,58,5,193.4,Aya Farouk,0,Not Paid,Octopus Salad,Delicious Octopus Salad - classic Mediterranean taste.,79.11,Mediterranean,967,73
74,74,Cancelled,Yasmin Ali,1086831746,"Nasr City, Cairo",74,40,3,70.44,Mohamed Gamal,233.4,Credit Card,Masala Dosa,Delicious Masala Dosa - classic Indian taste.,77.8,Indian,211.32,74
75,75,Delivered,Heba Farouk,1121120153,"Heliopolis, Cairo",75,56,1,97.32,Mostafa Hamed,0,Not Paid,Moussaka,Delicious Moussaka - classic Mediterranean taste.,25.64,Mediterranean,97.32,75
76,76,Shipped,Ahmed Farouk,1187118837,"Smouha, Alexandria",76,19,4,182.96,Hagar Kamel,0,Not Paid,Gnocchi,Delicious Gnocchi - classic Italian taste.,52.08,Italian,731.84,76
77,77,Cancelled,Ahmed Mostafa,1237262300,"Stanley, Alexandria",77,47,1,78.53,Ibrahim Nasr,48.18,Fawry,Grilled Halloumi,Delicious Grilled Halloumi - classic Lebanese taste.,48.18,Lebanese,78.53,77
78,78,Shipped,Khaled Hassan,1119297729,"Maadi, Cairo",78,3,1,101.93,Nermine Ragab,0,Not Paid,Fattah,Delicious Fattah - classic Egyptian taste.,74.95,Egyptian,101.93,78
79,79,Pending,Mohamed Hassan,1125558074,"Dokki, Giza",79,52,2,169.81,Mahmoud Said,0,Not Paid,Grilled Vegetables,Delicious Grilled Vegetables - classic Mediterranean taste.,45.64,Mediterranean,339.62,79
80,80,Cancelled,Sara Tawfik,1166489458,"Mohandessin, Giza",80,28,5,153.43,Rita Mansour,523.5,Cash,Peking Duck,Delicious Peking Duck - classic Chinese taste.,104.7,Chinese,767.15,80
